"document_link","dropdown_texts"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0c93d546d0cd8798c1256fac0040283a?OpenDocument","San Leucio (Caserta)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0cfb5ba3421c73d7c1256fa300601d47?OpenDocument","Montalto (Premilcuore)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0d7c1029d77135bdc1256fa2005a0561?OpenDocument","Fiano (Pescaglia)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0dad3aa0456319dec1256fa3006020cb?OpenDocument","Montechiaro D'Arbia (Siena), Mons Clarus"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0e5083c00288d557c1256fa3005fe17e?OpenDocument","Medeglia"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0f236c6455fc64e3c1256fa300603098?OpenDocument","Mosio (Acquanegra sul Chiese)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0fc2f17c48e5a5d3c1256fa40049192a?OpenDocument","Pittigon (Forno di Canale)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/10770b9e99a4bd5dc1256f9a00428112?OpenDocument","Brissago"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/10837c0d93c8703fc1256fac003ef303?OpenDocument","Roccatagliata (Neirone)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/10f77f14aefc46a1c1256f3b004d2b5c?OpenDocument","Torre Alfina (Acquapendente)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/11d78a4454accc14c1256fac004050be?OpenDocument","Sonvigo, Sonvico, Sonvichum"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/125bc88cb8e6455bc1256fa300602e67?OpenDocument","Montilium, Montiglio"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/12f7184eb066d3ebc1256f9a0047d08d?OpenDocument","Castrumnovum, Castelnuovo dell'Abate (Affi)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1374aa1ac0699634c1256f9a0054cce8?OpenDocument","Cluses"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1387c8373280a53cc1256f9a0047c2c2?OpenDocument","Carpugnino (Brovello Carpugnino)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/13a44467b5285f68c1256fac00402a77?OpenDocument","Sanctus Peregrinus, San Pellegrino (Gualdo Tadino)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/13ca11437702c5f3c1256fa3005fcfef?OpenDocument","Malta"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1457776c4ba71b8dc1256fa300601532?OpenDocument","Momiano, Mimilianum"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1537882a5143835ec1256fac003eef8e?OpenDocument","Riviera di Salò, Riviera Brisense, Riviera Benacense, Ripperia"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/154245cfa2fdbdf5c1256f9a0056d9a5?OpenDocument","Ceppato (Casciana Terme), Bagni di Casciana"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/16406f76dc5c79ccc1256fa3005fe38d?OpenDocument","Mijet, Melleda, Melita, Melida, Meleda"
