dropdown_value,dropdown_text,document_link
Udine,Udine,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/267dcf610d97584ec1256f3b004d37fc?OpenDocument
Tybur,Tybur,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/55312b1e3a8088a2c1256f3b004d24aa?OpenDocument
Tutiano,Tutiano,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0039b2bc835c8aafc1256f40003d00d3?OpenDocument
Tusculum,Tusculum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/65d930c9c8c29a73c1256fa2005a2615?OpenDocument
Tuscinianum,Tuscinianum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/21db7d9c1937e26dc1256f3b004d2c7c?OpenDocument
Tuscia,Tuscia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/30548fbfa0dc5a44c1256f3b004d37e6?OpenDocument
Tuscania,Tuscania,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/823be11f7133f45fc1256f3b004d37ce?OpenDocument
Tuscana,Tuscana,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/823be11f7133f45fc1256f3b004d37ce?OpenDocument
Turturi,Turturi,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/a0d69f14a16eabf5c1256f3b004d2c6b?OpenDocument
Turrita,Turrita,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5bd0fbe83b31941ac1256f3b004d2c33?OpenDocument
Turris Ursaya,Turris Ursaya,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/548cf72819a3206bc1256f3b004d2bde?OpenDocument
Turris,Turris,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3393c1bb94b00831c1256f3b004d2bd3?OpenDocument
Tumetium,Tumetium,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/09872a2832244665c1256f3b004d262b?OpenDocument
Tulpha Vetus,Tulpha Vetus,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ebefd43e39c3616cc1256f3b004d25f6?OpenDocument
Tulmetium,Tulmetium,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/09872a2832244665c1256f3b004d262b?OpenDocument
Tuenno,Tuenno,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/daa8ebd037b23baec1256f3b004d37c5?OpenDocument
Tudertum,Tudertum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/6760d353fe4fbd9ec1256f3b004d24fa?OpenDocument
Trsteno,Trsteno,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d79221507aa704bfc1256f9a0047bbd0?OpenDocument
Trsat,Trsat,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9344c85454224b2cc1256f40003cfc63?OpenDocument
Tropea,Tropea,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1d2ea593e7a5597cc1256f3b004d379c?OpenDocument
Troiana (Arco),Troiana (Arco),https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/47944f891b17a520c1256f3b004d3791?OpenDocument
Troia,Troia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/bc8ca5f0bc60892fc1256f3b004d377d?OpenDocument
Trogir,Trogir,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9177def7c21aaa78c1256f3b004d2e7c?OpenDocument
Trivinianum,Trivinianum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/430092a9b439bac3c1256f3b004d31fd?OpenDocument
Trissinum,Trissinum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/efac14530938fc91c1256f3b004d376f?OpenDocument
Trissino,Trissino,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/efac14530938fc91c1256f3b004d376f?OpenDocument
Trioria,Trioria,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/297eb680928ac661c1256f3b004d3743?OpenDocument
Triora,Triora,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/297eb680928ac661c1256f3b004d3743?OpenDocument
Trino,Trino,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9bd678a66231052dc1256f3b004d371b?OpenDocument
Trilacum,Trilacum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/75c1a1aff6715961c1256f3b004d2220?OpenDocument
Trieste,Trieste,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/b47f05324d31c8b8c1256f3b004d359f?OpenDocument
Tridinum,Tridinum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9bd678a66231052dc1256f3b004d371b?OpenDocument
Tridentum,Tridentum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/4c919c3fd3636e60c1256f3b004d2f64?OpenDocument
Tribinciolum,Tribinciolum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/6dc57727f5cb8951c1256f3b004d31e0?OpenDocument
Tribano,Tribano,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/563dff85ce781a1ac1256f3b004d3594?OpenDocument
Triana (Roccalbegna),Triana (Roccalbegna),https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e168d7d7e4298e5dc1256f3b004d3573?OpenDocument
Treviso,Treviso,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/853a3e7f19487daec1256f3b004d327c?OpenDocument
Trevinianum,Trevinianum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/430092a9b439bac3c1256f3b004d31fd?OpenDocument
Treville,Treville,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d4b492b1c3013c51c1256f3b004d3215?OpenDocument
Trevignano Romano,Trevignano Romano,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/430092a9b439bac3c1256f3b004d31fd?OpenDocument
Treviglio,Treviglio,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/8bad384eaf210bc7c1256f3b004d31ee?OpenDocument
Trevi nell'Umbria,Trevi nell'Umbria,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/36481383b65bfa30c1256f40003d1baa?OpenDocument
Trevi nel Lazio,Trevi nel Lazio,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9da8af123d5f60e9c1256f3b004d3232?OpenDocument
Trevenzuolo,Trevenzuolo,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/6dc57727f5cb8951c1256f3b004d31e0?OpenDocument
Treve,Treve,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9da8af123d5f60e9c1256f3b004d3232?OpenDocument
Treschietto (Bagnone in Lunigiana),Treschietto (Bagnone in Lunigiana),https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/40b4482454250ff4c1256f3b004d31c4?OpenDocument
_uahp6asr3d2520grfdphm2818a9nm2rj154_,Treschè Conca (Roana),https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/80ede8a1cce0bcb6c1256f3b004d31b4?OpenDocument
Tres,Tres,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/315cf071b086eeadc1256f3b004d31a7?OpenDocument
Trequanda,Trequanda,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/c2596eda2e871b21c1256f3b004d319b?OpenDocument
Treppo Carnico,Treppo Carnico,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/45840a59880a6347c1256f3b004d318d?OpenDocument
Trento,Trento,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/4c919c3fd3636e60c1256f3b004d2f64?OpenDocument
Trentino Alto Adige,Trentino Alto Adige,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/02664407319e54c9c1256fac00498591?OpenDocument
Treia,Treia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ec155fe417c18651c1256f3b004d2f36?OpenDocument
Tregnago,Tregnago,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ce25bed796afd480c1256f3b004d2f2a?OpenDocument
Tredici Comuni,Tredici Comuni,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/f9aaff5a18cac582c1256f3b004d2ef9?OpenDocument
Trecate,Trecate,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/bf570551f5004d36c1256f3b004d2edd?OpenDocument
Trebium,Trebium,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/36481383b65bfa30c1256f40003d1baa?OpenDocument
Trebianum,Trebianum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ddd4122e0f62d338c1256f3b004d2eb2?OpenDocument
Trebiano Magra (Arcola),Trebiano Magra (Arcola),https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ddd4122e0f62d338c1256f3b004d2eb2?OpenDocument
Trebiano,Trebiano,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ddd4122e0f62d338c1256f3b004d2eb2?OpenDocument
Trebbiano,Trebbiano,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ddd4122e0f62d338c1256f3b004d2eb2?OpenDocument
_qahp635o_,Traù,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9177def7c21aaa78c1256f3b004d2e7c?OpenDocument
Trasimeno (Lago),Trasimeno (Lago),https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1d917651ba2ad8a6c1256f40003d13d0?OpenDocument
Traschietum,Traschietum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/40b4482454250ff4c1256f3b004d31c4?OpenDocument
Traschiettum,Traschiettum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/40b4482454250ff4c1256f3b004d31c4?OpenDocument
Traschieto,Traschieto,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/40b4482454250ff4c1256f3b004d31c4?OpenDocument
Trapanum,Trapanum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/01ea5271072cf023c1256f3b004d2dcc?OpenDocument
Trapani,Trapani,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/01ea5271072cf023c1256f3b004d2dcc?OpenDocument
Trani,Trani,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/52e9b980a9531882c1256f3b004d2ccf?OpenDocument
Tramonti,Tramonti,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d8e5085374079ee1c1256f3b004d2cc5?OpenDocument
Trambileno,Trambileno,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/149dddea6497272bc1256f3b004d2cac?OpenDocument
Trambelleno,Trambelleno,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/149dddea6497272bc1256f3b004d2cac?OpenDocument
Tragurium,Tragurium,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9177def7c21aaa78c1256f3b004d2e7c?OpenDocument
Traffiume (Cannobio),Traffiume (Cannobio),https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/8653ad1c535fb171c1256f3b004d2c93?OpenDocument
Traetto,Traetto,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/31c562616299cb42c1256fa30060098e?OpenDocument
Tour du Peilz,Tour du Peilz,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/b7bf57dce3e64fe0c1256f3b004d2c88?OpenDocument
Tossignano (Borgo Tossignano),Tossignano (Borgo Tossignano),https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/21db7d9c1937e26dc1256f3b004d2c7c?OpenDocument
Toscanella,Toscanella,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/823be11f7133f45fc1256f3b004d37ce?OpenDocument
Tortora,Tortora,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/a0d69f14a16eabf5c1256f3b004d2c6b?OpenDocument
Tortona,Tortona,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e072254115dead11c1256f3b004d2c47?OpenDocument
Torsciuanum,Torsciuanum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/185f15db020a90bdc1256f3b004d271f?OpenDocument
Torsciano,Torsciano,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/185f15db020a90bdc1256f3b004d271f?OpenDocument
Torrita Tiberina,Torrita Tiberina,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5bd0fbe83b31941ac1256f3b004d2c33?OpenDocument
Torrita di Siena,Torrita di Siena,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/a16016e5f5b39d84c1256f3b004d2c24?OpenDocument
Torriglia,Torriglia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1ad0bfec0d8ce893c1256f3b004d2c05?OpenDocument
