dropdown_value,dropdown_text,document_link
(Non Classificati),(Non Classificati),https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0ca1e45a7f3acfadc1256f3b004d3942?OpenDocument
Zuppana,Zuppana,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/227dada3f3929bddc1256fa2005a48e5?OpenDocument
Zimbario,Zimbario,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/c9aa8e426c79e0c0c1256fac00404eea?OpenDocument
Zigognaria,Zigognaria,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5b547fa019bbb530c1256f9a004921e1?OpenDocument
Zidanova,Zidanova,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/b2219b437798eb2fc1257089002ce9f4?OpenDocument
Zecima,Zecima,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0327ee231a4de741c1256f9a0056d759?OpenDocument
Zaton,Zaton,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/20b09fc51083ef73c1256f9a0056f8ba?OpenDocument
Yssyognia,Yssyognia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/8c0f9329f1af70a9c1256fa2005a5524?OpenDocument
Yssogne,Yssogne,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/8c0f9329f1af70a9c1256fa2005a5524?OpenDocument
Yscla,Yscla,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/c5951d65cb7c3d9cc1256fa2005a5461?OpenDocument
Yporegia,Yporegia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ba1a1b0456b6966dc1256fa2005a56bd?OpenDocument
Ymola,Ymola,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/b7a62709c0ef89abc1256fa2005a51cd?OpenDocument
Volpino,Volpino,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/b245454027c3db5cc1256f9a0056e5e3?OpenDocument
Villa Stifone,Villa Stifone,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/4f7f7b9bc6ac0603c1256fac004054ca?OpenDocument
Villa Guncinarum,Villa Guncinarum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d6a4b360c55661e1c1256fa2005a4924?OpenDocument
Villa di Chiesa,Villa di Chiesa,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/24a0358d04657bbbc1256fa2005a518a?OpenDocument
Vastalla,Vastalla,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/485491b998811ed4c1256fa2005a4e9f?OpenDocument
Varzio (Verscio),Varzio (Verscio),https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1655e0426b12f1f5c1256fa40048f6f8?OpenDocument
Valtellina,Valtellina,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/446b66b676885475c1258bf00038fb99?OpenDocument
Valsugana,Valsugana,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/7ecb917bc9cfb272c1256f3b004d21ad?OpenDocument
Vallis Tellina,Vallis Tellina,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/446b66b676885475c1258bf00038fb99?OpenDocument
Valle Siliciana,Valle Siliciana,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/37ae25377aedc02fc1256fa2005a54d1?OpenDocument
Valle Siciliana,Valle Siciliana,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/37ae25377aedc02fc1256fa2005a54d1?OpenDocument
Valle Mavone,Valle Mavone,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/37ae25377aedc02fc1256fa2005a54d1?OpenDocument
Valle Formazza,Valle Formazza,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/6614d6583cc16ceec1256fa2005a240b?OpenDocument
Valle Dianese,Valle Dianese,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ecea025b67fb8a05c1256f9a0056f6ff?OpenDocument
Valle Camonica,Valle Camonica,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e083cce9e0350851c1258b260029b5af?OpenDocument
Valle Averara,Valle Averara,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/892e5ac154e770aac1256f9a004062fe?OpenDocument
Valchiavenna,Valchiavenna,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3b1ca1e27f369cefc1256f9a004919be?OpenDocument
Valcamonica,Valcamonica,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e083cce9e0350851c1258b260029b5af?OpenDocument
Uxita,Uxita,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/b066c07d0e898498c1256f3b004d3aed?OpenDocument
Utriculum,Utriculum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9b49c75c2b7eb14fc1256fa40048d8fa?OpenDocument
Utinum,Utinum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/267dcf610d97584ec1256f3b004d37fc?OpenDocument
Ussita,Ussita,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/b066c07d0e898498c1256f3b004d3aed?OpenDocument
Usserum,Usserum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/96781e45002f5417c1257a70004e2415?OpenDocument
Usonia,Usonia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/7b0df3b93ff76560c1256fa40048d661?OpenDocument
Ururi,Ururi,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/8c05ee20be655fb9c1256f3b004d3adf?OpenDocument
Ursongia,Ursongia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/cb9b3ec69a0cb53bc1256fa40048d127?OpenDocument
Urigium,Urigium,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/b7923c09a192f806c1256fa40048d010?OpenDocument
Urcei,Urcei,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e45397f17e5eec0ac1256fa40048d4f2?OpenDocument
Urceae Novae,Urceae Novae,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e45397f17e5eec0ac1256fa40048d4f2?OpenDocument
Urbsvetus,Urbsvetus,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/07d1ac5f79b61b66c1256fa40048d33c?OpenDocument
Urbinum,Urbinum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2422cd2af8d5e545c1256f3b004d3997?OpenDocument
Urbino,Urbino,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2422cd2af8d5e545c1256f3b004d3997?OpenDocument
Urbania,Urbania,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/57f5d6ec5f35564ac1256f3b004d397e?OpenDocument
Untio,Untio,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/fd82fcb442780276c1256fa40048cee2?OpenDocument
Unelia,Unelia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/dab5f5bb2b7ae761c1256fa40048ceb2?OpenDocument
Unegia,Unegia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/dab5f5bb2b7ae761c1256fa40048ceb2?OpenDocument
Unagno,Unagno,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/c35f793c3a8af51bc1256fa40048ce94?OpenDocument
Umbertide,Umbertide,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/eed7fe71f5ee309cc1256f3b004d3970?OpenDocument
Ulmeta,Ulmeta,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/388b1e02725a1198c1256fa40048d077?OpenDocument
Ugubio,Ugubio,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/fdc4a6a0497db419c1256fa2005a4f74?OpenDocument
Ugenia,Ugenia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e4c0f10147e44047c1256fa40048d96b?OpenDocument
Udregium,Udregium,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/b7923c09a192f806c1256fa40048d010?OpenDocument
