"dropdown_value","dropdown_text.x","document_link","link_text.x","earliest_year.x","correct_name","dropdown_text.y","link_text.y","earliest_year.y","com_name","PRO_COM_T","COMUNE","stat","year_earliest_statuto","Nomi_statuti","NOME","PRO_COM","DROP"
"Castel San Giorgio","Castel San Giorgio","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e45397f17e5eec0ac1256fa40048d4f2?OpenDocument","Orzinuovi I 1, I - Statuti dei comuni, 1341-1387",1341,"Orzinuovi","Orzinuovi","Orzinuovi I 1, I - Statuti dei comuni, 1341-1387",1341,"Castel San Giorgio",65034,"Castel San Giorgio",1,1341,NA,NA,NA,NA
"Castel San Pietro dell'Emilia","Castel San Pietro dell'Emilia","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/93e183ec9284a5d7c1256f9a0047d4bd?OpenDocument","Castel San Pietro Terme I 1, I - Statuti dei comuni, 1199-1638",1199,"Castel San Pietro Terme","Castel San Pietro Terme","Castel San Pietro Terme I 1, I - Statuti dei comuni, 1199-1638",1199,"Castel San Pietro Terme",37020,"Castel San Pietro Terme",1,1199,NA,NA,NA,NA
"Castel San Pietro Terme","Castel San Pietro Terme","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/93e183ec9284a5d7c1256f9a0047d4bd?OpenDocument","Castel San Pietro Terme I 1, I - Statuti dei comuni, 1199-1638",1199,"Castel San Pietro Terme","Castel San Pietro Terme","Castel San Pietro Terme I 1, I - Statuti dei comuni, 1199-1638",1199,"Castel San Pietro Terme",37020,"Castel San Pietro Terme",1,1199,NA,NA,NA,NA
"Castel Sardo","Castel Sardo","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/91b7397abd75ad8bc1256f9a0047d505?OpenDocument","Castel Sardo I 1, I - Statuti dei comuni, sec. XIV",NA,"Castelsardo","Castelsardo","Castel Sardo I 1, I - Statuti dei comuni, sec. XIV",NA,"Castelsardo",90023,"Castelsardo",1,NA,NA,NA,NA,NA
"Castelbolognese","Castelbolognese","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9d302c51f6b7881bc1256f9a0047d384?OpenDocument","Castel Bolognese I 1, I - Statuti dei comuni, 1461",1461,"Castel Bolognese","Castel Bolognese","Castel Bolognese I 1, I - Statuti dei comuni, 1461",1461,"Castel Bolognese",39006,"Castel Bolognese",1,1461,NA,NA,NA,NA
"Casteldelfino","Casteldelfino","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0f8e6ff3a61db9e8c1256f9a0047ccf0?OpenDocument","Casteldelfino I 1, I - Statuti dei comuni, 1344-1548",1344,"Casteldelfino","Casteldelfino","Casteldelfino I 1, I - Statuti dei comuni, 1344-1548",1344,"Casteldelfino",4047,"Casteldelfino",1,1344,NA,NA,NA,NA
"Casteletum Merlorum","Casteletum Merlorum","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/a8c02d061e6420e9c1256f9a0047cf1f?OpenDocument","Castelletto Merli I 1, I - Statuti dei comuni, 1480-1659",1480,"Castelletto Merli","Castelletto Merli","Castelletto Merli I 1, I - Statuti dei comuni, 1480-1659",1480,"Castelletto Merli",6050,"Castelletto Merli",1,1480,NA,NA,NA,NA
"Castelficardo","Castelficardo","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/baac92add935393ec1256f9a0047cd68?OpenDocument","Castelfidardo I 1, I - Statuti dei comuni, 1585-1588",1585,"Castelfidardo","Castelfidardo","Castelfidardo I 1, I - Statuti dei comuni, 1585-1588",1585,"Castelfidardo",42010,"Castelfidardo",1,1585,NA,NA,NA,NA
"Castelfidardo","Castelfidardo","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/baac92add935393ec1256f9a0047cd68?OpenDocument","Castelfidardo I 1, I - Statuti dei comuni, 1585-1588",1585,"Castelfidardo","Castelfidardo","Castelfidardo I 1, I - Statuti dei comuni, 1585-1588",1585,"Castelfidardo",42010,"Castelfidardo",1,1585,NA,NA,NA,NA
"Castelfiorentino","Castelfiorentino","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/58fad262ccdb198ac1256f9a0047cdd4?OpenDocument","Castelfiorentino I 1, I - Statuti dei comuni, 1231-1236",1231,"Castelfiorentino","Castelfiorentino","Castelfiorentino I 1, I - Statuti dei comuni, 1231-1236",1231,"Castelfiorentino",48010,"Castelfiorentino",1,1231,NA,NA,NA,NA
"Castelfranco Emilia","Castelfranco Emilia","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3df31555820ca547c1256f9a0047ce7e?OpenDocument","Castelfranco Emilia I 1, I - Statuti dei comuni, 1713-1718",1713,"Castelfranco Emilia","Castelfranco Emilia","Castelfranco Emilia I 1, I - Statuti dei comuni, 1713-1718",1713,"Castelfranco Emilia",36006,"Castelfranco Emilia",1,1713,NA,NA,NA,NA
"Castelgenovese","Castelgenovese","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/91b7397abd75ad8bc1256f9a0047d505?OpenDocument","Castel Sardo I 1, I - Statuti dei comuni, sec. XIV",NA,"Castelsardo","Castelsardo","Castel Sardo I 1, I - Statuti dei comuni, sec. XIV",NA,"Castelsardo",90023,"Castelsardo",1,NA,NA,NA,NA,NA
"Castell'Arquato","Castell'Arquato","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/8086e487e3ec345cc1257089002a5915?OpenDocument","Castell'Arquato I 1, I - Statuti dei comuni, 1445-1449",1445,"Castell'Arquato","Castell'Arquato","Castell'Arquato I 1, I - Statuti dei comuni, 1445-1449",1445,"Castell'Arquato",33012,"Castell'Arquato",1,1445,NA,NA,NA,NA
"Castellamonte","Castellamonte","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/453bec82cfd6c6c9c1256f9a0047cec3?OpenDocument","Castellamonte II3 1, II 3 - Compagnie e consorzi",NA,"Castellamonte","Castellamonte","Castellamonte II3 1, II 3 - Compagnie e consorzi",NA,"Castellamonte",1066,"Castellamonte",1,NA,NA,NA,NA,NA
"Castellaneta","Castellaneta","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/df3629004372cf6ec1256f9a0047ced7?OpenDocument","Castellaneta I 1, I - Statuti dei comuni, 1419",1419,"Castellaneta","Castellaneta","Castellaneta I 1, I - Statuti dei comuni, 1419",1419,"Castellaneta",73003,"Castellaneta",1,1419,NA,NA,NA,NA
"Castellarano","Castellarano","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9315b861d5acf5dfc1256f9a0047cee7?OpenDocument","Castellarano I 1, I - Statuti dei comuni, 1616-1634",1616,"Castellarano","Castellarano","Castellarano I 1, I - Statuti dei comuni, 1616-1634",1616,"Castellarano",35014,"Castellarano",1,1616,NA,NA,NA,NA
"Castellarium","Castellarium","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/6770fd409aa6c42bc1256f9a0047cf10?OpenDocument","Castellaro I 1, I - Statuti dei comuni, 1274",1274,"Castellaro","Castellaro","Castellaro I 1, I - Statuti dei comuni, 1274",1274,"Castellaro",8014,"Castellaro",1,1274,NA,NA,NA,NA
"Castellaro","Castellaro","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/6770fd409aa6c42bc1256f9a0047cf10?OpenDocument","Castellaro I 1, I - Statuti dei comuni, 1274",1274,"Castellaro","Castellaro","Castellaro I 1, I - Statuti dei comuni, 1274",1274,"Castellaro",8014,"Castellaro",1,1274,NA,NA,NA,NA
"Castelletto Merli","Castelletto Merli","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/a8c02d061e6420e9c1256f9a0047cf1f?OpenDocument","Castelletto Merli I 1, I - Statuti dei comuni, 1480-1659",1480,"Castelletto Merli","Castelletto Merli","Castelletto Merli I 1, I - Statuti dei comuni, 1480-1659",1480,"Castelletto Merli",6050,"Castelletto Merli",1,1480,NA,NA,NA,NA
"Castelletto sopra Ticino","Castelletto sopra Ticino","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2749e5bb97b9fb20c1256f9a0047cf38?OpenDocument","Castelletto Sopra Ticino I 1, I - Statuti dei comuni, 1340",1340,"Castelletto sopra Ticino","Castelletto sopra Ticino","Castelletto Sopra Ticino I 1, I - Statuti dei comuni, 1340",1340,"Castelletto sopra Ticino",3043,"Castelletto sopra Ticino",1,1340,NA,NA,NA,NA
"Castelletum","Castelletum","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2749e5bb97b9fb20c1256f9a0047cf38?OpenDocument","Castelletto Sopra Ticino I 1, I - Statuti dei comuni, 1340",1340,"Castelletto sopra Ticino","Castelletto sopra Ticino","Castelletto Sopra Ticino I 1, I - Statuti dei comuni, 1340",1340,"Castelletto sopra Ticino",3043,"Castelletto sopra Ticino",1,1340,NA,NA,NA,NA
"Castello di Nemi","Castello di Nemi","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d2954cca927be10ec1256fa40048c52e?OpenDocument","Nemi I 1, I - Statuti dei comuni, 1514",1514,"Nemi","Nemi","Nemi I 1, I - Statuti dei comuni, 1514",1514,"Nemi",58070,"Nemi",1,1514,NA,NA,NA,NA
"Castello Iane","Castello Iane","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/91b7397abd75ad8bc1256f9a0047d505?OpenDocument","Castel Sardo I 1, I - Statuti dei comuni, sec. XIV",NA,"Castelsardo","Castelsardo","Castel Sardo I 1, I - Statuti dei comuni, sec. XIV",NA,"Castelsardo",90023,"Castelsardo",1,NA,NA,NA,NA,NA
"Castelmarte","Castelmarte","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/b14c2dc63881112fc1256f9a0047cff1?OpenDocument","Castelmarte I 1, I - Statuti dei comuni, 1237-1246",1237,"Castelmarte","Castelmarte","Castelmarte I 1, I - Statuti dei comuni, 1237-1246",1237,"Castelmarte",13058,"Castelmarte",1,1237,NA,NA,NA,NA
"Castelnovetto","Castelnovetto","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/426efde04fdd710fc1256f9a0047d027?OpenDocument","Castelnovetto I 1, I - Statuti dei comuni, 1733-1749",1733,"Castelnovetto","Castelnovetto","Castelnovetto I 1, I - Statuti dei comuni, 1733-1749",1733,"Castelnovetto",18040,"Castelnovetto",1,1733,NA,NA,NA,NA
"Castelnuovo Berardenga","Castelnuovo Berardenga","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/82437c83d8df97bcc1257089002ac755?OpenDocument","Castelnuovo Berardenga I 1, I - Statuti dei comuni, 1777",1777,"Castelnuovo Berardenga","Castelnuovo Berardenga","Castelnuovo Berardenga I 1, I - Statuti dei comuni, 1777",1777,"Castelnuovo Berardenga",52006,"Castelnuovo Berardenga",1,1777,NA,NA,NA,NA
"Castelnuovo di Garfagnana","Castelnuovo di Garfagnana","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/7737370b15e015dbc1256f9a0047d131?OpenDocument","Castelnuovo di Garfagnana I 1, I - Statuti dei comuni, 1502-1751",1502,"Castelnuovo di Garfagnana","Castelnuovo di Garfagnana","Castelnuovo di Garfagnana I 1, I - Statuti dei comuni, 1502-1751",1502,"Castelnuovo di Garfagnana",46009,"Castelnuovo di Garfagnana",1,1502,NA,NA,NA,NA
"Castelnuovo di Porto","Castelnuovo di Porto","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/27f0b237c8ac5940c1256f9a0047d1d0?OpenDocument","Castelnuovo di Porto I 1, I - Statuti dei comuni, 1658",1658,"Castelnuovo di Porto","Castelnuovo di Porto","Castelnuovo di Porto I 1, I - Statuti dei comuni, 1658",1658,"Castelnuovo di Porto",58024,"Castelnuovo di Porto",1,1658,NA,NA,NA,NA
"Castelnuovo di Val di Cecina","Castelnuovo di Val di Cecina","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1c4721d59c5cabe0c1256f9a0047d21e?OpenDocument","Castelnuovo di Val di Cecina I 1, I - Statuti dei comuni, 1525",1525,"Castelnuovo di Val di Cecina","Castelnuovo di Val di Cecina","Castelnuovo di Val di Cecina I 1, I - Statuti dei comuni, 1525",1525,"Castelnuovo di Val di Cecina",50011,"Castelnuovo di Val di Cecina",1,1525,NA,NA,NA,NA
"Castelnuovo Rangone","Castelnuovo Rangone","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/a2a4e9e6d65af0dbc1256f9a0047d249?OpenDocument","Castelnuovo Rangone I 1, I - Statuti dei comuni, 1652",1652,"Castelnuovo Rangone","Castelnuovo Rangone","Castelnuovo Rangone I 1, I - Statuti dei comuni, 1652",1652,"Castelnuovo Rangone",36007,"Castelnuovo Rangone",1,1652,NA,NA,NA,NA
"Castelnuovo Scrivia","Castelnuovo Scrivia","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ff30a5c1f0cfc8dbc1256f9a0047d278?OpenDocument","Castelnuovo Scrivia I 1, I - Statuti dei comuni, 1450-1466",1450,"Castelnuovo Scrivia","Castelnuovo Scrivia","Castelnuovo Scrivia I 1, I - Statuti dei comuni, 1450-1466",1450,"Castelnuovo Scrivia",6053,"Castelnuovo Scrivia",1,1450,NA,NA,NA,NA
"Castelsardo","Castelsardo","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/91b7397abd75ad8bc1256f9a0047d505?OpenDocument","Castel Sardo I 1, I - Statuti dei comuni, sec. XIV",NA,"Castelsardo","Castelsardo","Castel Sardo I 1, I - Statuti dei comuni, sec. XIV",NA,"Castelsardo",90023,"Castelsardo",1,NA,NA,NA,NA,NA
"Castelvecchio di Calabria","Castelvecchio di Calabria","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2de2e83eaf720786c1256f9a0054ea05?OpenDocument","Caulonia I 1, I - Statuti dei comuni, 1490",1490,"Caulonia","Caulonia","Caulonia I 1, I - Statuti dei comuni, 1490",1490,"Caulonia",80025,"Caulonia",1,1490,NA,NA,NA,NA
"Castelvecchio oltre Po","Castelvecchio oltre Po","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/64e00c68461ebaa4c1256f9a0047d323?OpenDocument","Castelvetro Piacentino I 1, I - Statuti dei comuni, 835",NA,"Castelvetro Piacentino","Castelvetro Piacentino","Castelvetro Piacentino I 1, I - Statuti dei comuni, 835",NA,"Castelvetro Piacentino",33014,"Castelvetro Piacentino",1,NA,NA,NA,NA,NA
"Castelvenere","Castelvenere","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/13fd103e277180dac1256f9a0047d2a8?OpenDocument","Castelvenere I 1, I - Statuti dei comuni, 1476-77",1476,"Castelvenere","Castelvenere","Castelvenere I 1, I - Statuti dei comuni, 1476-77",1476,"Castelvenere",62019,"Castelvenere",1,1476,NA,NA,NA,NA
"Castelvetere","Castelvetere","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2de2e83eaf720786c1256f9a0054ea05?OpenDocument","Caulonia I 1, I - Statuti dei comuni, 1490",1490,"Caulonia","Caulonia","Caulonia I 1, I - Statuti dei comuni, 1490",1490,"Caulonia",80025,"Caulonia",1,1490,NA,NA,NA,NA
"Castelvetro Piacentino","Castelvetro Piacentino","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/64e00c68461ebaa4c1256f9a0047d323?OpenDocument","Castelvetro Piacentino I 1, I - Statuti dei comuni, 835",NA,"Castelvetro Piacentino","Castelvetro Piacentino","Castelvetro Piacentino I 1, I - Statuti dei comuni, 835",NA,"Castelvetro Piacentino",33014,"Castelvetro Piacentino",1,NA,NA,NA,NA,NA
"Castenedolo","Castenedolo","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ac6e411833384895c1256f9a0047d671?OpenDocument","Castenedolo I 1, I - Statuti dei comuni, 1444",1444,"Castenedolo","Castenedolo","Castenedolo I 1, I - Statuti dei comuni, 1444",1444,"Castenedolo",17043,"Castenedolo",1,1444,NA,NA,NA,NA
"Castiglione Chiavarese","Castiglione Chiavarese","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/8e19fa92a424acedc1256f9a0047d685?OpenDocument","Castiglione Chiavarese I 1, I - Statuti dei comuni, 1440-1443",1440,"Castiglione Chiavarese","Castiglione Chiavarese","Castiglione Chiavarese I 1, I - Statuti dei comuni, 1440-1443",1440,"Castiglione Chiavarese",10013,"Castiglione Chiavarese",1,1440,NA,NA,NA,NA
"Castiglione Chiusino","Castiglione Chiusino","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0518f6691e49f39bc1256f9a0047d994?OpenDocument","Castiglione del Lago I 1, I - Statuti dei comuni, sec. XIV-XVI",NA,"Castiglione del Lago","Castiglione del Lago","Castiglione del Lago I 1, I - Statuti dei comuni, sec. XIV-XVI",NA,"Castiglione del Lago",54009,"Castiglione del Lago",1,NA,NA,NA,NA,NA
"Castiglione d'Orcia","Castiglione d'Orcia","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/36bd058305a7613bc1256f9a0047d6a1?OpenDocument","Castiglione d'Orcia I 1, I - Statuti dei comuni, 1777",1777,"Castiglione d'Orcia","Castiglione d'Orcia","Castiglione d'Orcia I 1, I - Statuti dei comuni, 1777",1777,"Castiglione d'Orcia",52007,"Castiglione d'Orcia",1,1777,NA,NA,NA,NA
"Castiglione de' Gatti","Castiglione de' Gatti","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/6a6e682e63dbf261c1256f9a0047d6fd?OpenDocument","Castiglione dei Pepoli I 1, I - Statuti dei comuni, 1617-1682",1617,"Castiglione dei Pepoli","Castiglione dei Pepoli","Castiglione dei Pepoli I 1, I - Statuti dei comuni, 1617-1682",1617,"Castiglione dei Pepoli",37022,"Castiglione dei Pepoli",1,1617,NA,NA,NA,NA
"Castiglione dei Pepoli","Castiglione dei Pepoli","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/6a6e682e63dbf261c1256f9a0047d6fd?OpenDocument","Castiglione dei Pepoli I 1, I - Statuti dei comuni, 1617-1682",1617,"Castiglione dei Pepoli","Castiglione dei Pepoli","Castiglione dei Pepoli I 1, I - Statuti dei comuni, 1617-1682",1617,"Castiglione dei Pepoli",37022,"Castiglione dei Pepoli",1,1617,NA,NA,NA,NA
"Castiglione del Lago","Castiglione del Lago","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0518f6691e49f39bc1256f9a0047d994?OpenDocument","Castiglione del Lago I 1, I - Statuti dei comuni, sec. XIV-XVI",NA,"Castiglione del Lago","Castiglione del Lago","Castiglione del Lago I 1, I - Statuti dei comuni, sec. XIV-XVI",NA,"Castiglione del Lago",54009,"Castiglione del Lago",1,NA,NA,NA,NA,NA
"Castiglione delle Stiviere","Castiglione delle Stiviere","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/f2290b3c300cca95c1256f9a0047d7fa?OpenDocument","Castiglione delle Stiviere I 1, I - Statuti dei comuni, 1451-1603",1451,"Castiglione delle Stiviere","Castiglione delle Stiviere","Castiglione delle Stiviere I 1, I - Statuti dei comuni, 1451-1603",1451,"Castiglione delle Stiviere",20017,"Castiglione delle Stiviere",1,1451,NA,NA,NA,NA
"Castiglione di Garfagnana","Castiglione di Garfagnana","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/c95c2f58109790fcc1256f9a0047d9dd?OpenDocument","Castiglione di Garfagnana I 1, I - Statuti dei comuni, 1456-1500",1456,"Castiglione di Garfagnana","Castiglione di Garfagnana","Castiglione di Garfagnana I 1, I - Statuti dei comuni, 1456-1500",1456,"Castiglione di Garfagnana",46010,"Castiglione di Garfagnana",1,1456,NA,NA,NA,NA
"Castiglione di Sicilia","Castiglione di Sicilia","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d0091796c1b93bb3c1256f9a0047dab0?OpenDocument","Castiglione di Sicilia I 1, I - Statuti dei comuni, 1392-1566",1392,"Castiglione di Sicilia","Castiglione di Sicilia","Castiglione di Sicilia I 1, I - Statuti dei comuni, 1392-1566",1392,"Castiglione di Sicilia",87014,"Castiglione di Sicilia",1,1392,NA,NA,NA,NA
"Castiglione Messer Raimondo","Castiglione Messer Raimondo","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/df662ef1555a36a9c1256f9a0047dcd8?OpenDocument","Castiglione Messer Raimondo I 1, I - Statuti dei comuni, 1526-1759",1526,"Castiglione Messer Raimondo","Castiglione Messer Raimondo","Castiglione Messer Raimondo I 1, I - Statuti dei comuni, 1526-1759",1526,"Castiglione Messer Raimondo",67013,"Castiglione Messer Raimondo",1,1526,NA,NA,NA,NA
"Castignano","Castignano","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/547073c660c68ca4c1256f9a0054e224?OpenDocument","Castignano I 1, I - Statuti dei comuni, 1589-1658",1589,"Castignano","Castignano","Castignano I 1, I - Statuti dei comuni, 1589-1658",1589,"Castignano",44012,"Castignano",1,1589,NA,NA,NA,NA
"Castileo Messer Raimundi","Castileo Messer Raimundi","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/df662ef1555a36a9c1256f9a0047dcd8?OpenDocument","Castiglione Messer Raimondo I 1, I - Statuti dei comuni, 1526-1759",1526,"Castiglione Messer Raimondo","Castiglione Messer Raimondo","Castiglione Messer Raimondo I 1, I - Statuti dei comuni, 1526-1759",1526,"Castiglione Messer Raimondo",67013,"Castiglione Messer Raimondo",1,1526,NA,NA,NA,NA
"Castilio a Stiveriis","Castilio a Stiveriis","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/f2290b3c300cca95c1256f9a0047d7fa?OpenDocument","Castiglione delle Stiviere I 1, I - Statuti dei comuni, 1451-1603",1451,"Castiglione delle Stiviere","Castiglione delle Stiviere","Castiglione delle Stiviere I 1, I - Statuti dei comuni, 1451-1603",1451,"Castiglione delle Stiviere",20017,"Castiglione delle Stiviere",1,1451,NA,NA,NA,NA
"Castilio Garphagnanae","Castilio Garphagnanae","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/c95c2f58109790fcc1256f9a0047d9dd?OpenDocument","Castiglione di Garfagnana I 1, I - Statuti dei comuni, 1456-1500",1456,"Castiglione di Garfagnana","Castiglione di Garfagnana","Castiglione di Garfagnana I 1, I - Statuti dei comuni, 1456-1500",1456,"Castiglione di Garfagnana",46010,"Castiglione di Garfagnana",1,1456,NA,NA,NA,NA
"Castilionum","Castilionum","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d0091796c1b93bb3c1256f9a0047dab0?OpenDocument","Castiglione di Sicilia I 1, I - Statuti dei comuni, 1392-1566",1392,"Castiglione di Sicilia","Castiglione di Sicilia","Castiglione di Sicilia I 1, I - Statuti dei comuni, 1392-1566",1392,"Castiglione di Sicilia",87014,"Castiglione di Sicilia",1,1392,NA,NA,NA,NA
"Castino","Castino","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/8ed85a4cdbafc586c1256f9a0054e2f8?OpenDocument","Castino I 1, I - Statuti dei comuni, 1471-1542",1471,"Castino","Castino","Castino I 1, I - Statuti dei comuni, 1471-1542",1471,"Castino",4057,"Castino",1,1471,NA,NA,NA,NA
"Castinum","Castinum","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/8ed85a4cdbafc586c1256f9a0054e2f8?OpenDocument","Castino I 1, I - Statuti dei comuni, 1471-1542",1471,"Castino","Castino","Castino I 1, I - Statuti dei comuni, 1471-1542",1471,"Castino",4057,"Castino",1,1471,NA,NA,NA,NA
"Castione","Castione","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/f2290b3c300cca95c1256f9a0047d7fa?OpenDocument","Castiglione delle Stiviere I 1, I - Statuti dei comuni, 1451-1603",1451,"Castiglione delle Stiviere","Castiglione delle Stiviere","Castiglione delle Stiviere I 1, I - Statuti dei comuni, 1451-1603",1451,"Castiglione delle Stiviere",20017,"Castiglione delle Stiviere",1,1451,NA,NA,NA,NA
"Castrogiovanni","Castrogiovanni","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5b5dd161ce0f2747c1256f9a0056fea1?OpenDocument","Enna I 1, I - Statuti dei comuni, 1392-1456",1392,"Enna","Enna","Enna I 1, I - Statuti dei comuni, 1392-1456",1392,"Enna",86009,"Enna",1,1392,NA,NA,NA,NA
"Castronovo di Sicilia","Castronovo di Sicilia","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/7abe9f8a434cb01bc1256f9a0054e438?OpenDocument","Castronuovo di Sicilia I 1, I - Statuti dei comuni, 1401-1640",1401,"Castronovo di Sicilia","Castronovo di Sicilia","Castronuovo di Sicilia I 1, I - Statuti dei comuni, 1401-1640",1401,"Castronovo di Sicilia",82025,"Castronovo di Sicilia",1,1401,NA,NA,NA,NA
