document_link,Nomi_statuti,NOME ,PRO_COM,DROP
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0ab0f482ebaf9837c1256f9a0047c582?OpenDocument,Casalpoglio (Castel Goffredo),Castel Goffredo,20015,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0b35086ba3e3532fc1256fac00402ec0?OpenDocument,Santa Maria a Toro (San Nicola Manfredi),San Nicola Manfredi,62067,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0b596d003e4f9099c1256f9a004233a5?OpenDocument,"Biasca, Ariasca",#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0c3f050ff1c1db7ec1256fac003ef18f?OpenDocument,"Riviera, Rivera, Riperia, Reffier",#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0c42f8ec35e1f0f6c1256fa40048d2fa?OpenDocument,Orturano (Bagnone in Lunigiana),Bagnone,45002,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0c7e6c7b7eacb434c1256fac003ee38d?OpenDocument,Rapolano,Rapolano Terme,52026,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0c93d546d0cd8798c1256fac0040283a?OpenDocument,San Leucio (Caserta),Caserta,61022,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0cfb5ba3421c73d7c1256fa300601d47?OpenDocument,Montalto (Premilcuore),Premilcuore,40033,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0d7c1029d77135bdc1256fa2005a0561?OpenDocument,Fiano (Pescaglia),Pescaglia,46022,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0dad3aa0456319dec1256fa3006020cb?OpenDocument,"Montechiaro D'Arbia (Siena), Mons Clarus",Siena,52032,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0e5083c00288d557c1256fa3005fe17e?OpenDocument,Medeglia,#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0f236c6455fc64e3c1256fa300603098?OpenDocument,Mosio (Acquanegra sul Chiese),Acquanegra sul Chiese,020001,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0fc2f17c48e5a5d3c1256fa40049192a?OpenDocument,Pittigon (Forno di Canale),Forno di Canale,25023,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/10770b9e99a4bd5dc1256f9a00428112?OpenDocument,Brissago,#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/10837c0d93c8703fc1256fac003ef303?OpenDocument,Roccatagliata (Neirone),Neirone,10041,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/10f77f14aefc46a1c1256f3b004d2b5c?OpenDocument,Torre Alfina (Acquapendente),Acquapendente,56001,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/11d78a4454accc14c1256fac004050be?OpenDocument,"Sonvigo, Sonvico, Sonvichum",Sarentino,21086,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/125bc88cb8e6455bc1256fa300602e67?OpenDocument,"Montilium, Montiglio",Montiglio Monferrato,5121,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/12f7184eb066d3ebc1256f9a0047d08d?OpenDocument,"Castrumnovum, Castelnuovo dell'Abate (Affi)",Affi,23001,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1374aa1ac0699634c1256f9a0054cce8?OpenDocument,Cluses,#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1387c8373280a53cc1256f9a0047c2c2?OpenDocument,Carpugnino (Brovello Carpugnino),Brovello Carpugnino,103013,
