dropdown_value,dropdown_text,document_link
Albano Laziale,Albano Laziale,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1f860e37d5822c13c1256f9a00404fc6?OpenDocument
Albenga,Albenga,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5d19549ae3d66751c1256f9a00404fd2?OpenDocument
Albens,Albens,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/81c5367a51330047c1256f9a0040507d?OpenDocument
Alberona,Alberona,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/203d9e7d30ae3fecc1256f9a0040508b?OpenDocument
Albiano d'Ivrea,Albiano d'Ivrea,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/58210ef549b20bb2c1256f9a00405099?OpenDocument
Albianum,Albianum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/58210ef549b20bb2c1256f9a00405099?OpenDocument
Albinga,Albinga,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5d19549ae3d66751c1256f9a00404fd2?OpenDocument
Albingaunum,Albingaunum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5d19549ae3d66751c1256f9a00404fd2?OpenDocument
Albisola,Albisola,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/416d3112176853a2c1256fa80054241b?OpenDocument
Albisola Marina,Albisola Marina,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/416d3112176853a2c1256fa80054241b?OpenDocument
Albisola Superiore,Albisola Superiore,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5c200805d0cb9e49c12571e6003be1fc?OpenDocument
Albissola,Albissola,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/416d3112176853a2c1256fa80054241b?OpenDocument
Albona,Albona,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5235a335f3fdfcf3c1256f9a004050a7?OpenDocument
Alcamo,Alcamo,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/916e29b5675caeefc1256f9a0040510e?OpenDocument
Alcamus,Alcamus,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/916e29b5675caeefc1256f9a0040510e?OpenDocument
Alebium,Alebium,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/7da944c57c7c9641c1256f9a0056f59c?OpenDocument
Alessandria,Alessandria,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e2ff765e5db4167ac1256f9a0040513d?OpenDocument
Alessandria della Paglia,Alessandria della Paglia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e2ff765e5db4167ac1256f9a0040513d?OpenDocument
Alexandria,Alexandria,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e2ff765e5db4167ac1256f9a0040513d?OpenDocument
Alfaedo (Sant'Anna d'Alfaedo),Alfaedo (Sant'Anna d'Alfaedo),https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/fcc6185019cf5d63c1256f9a004052e6?OpenDocument
Algaria,Algaria,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d507dc2909b2202dc1256f9a004052f4?OpenDocument
Alghero,Alghero,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d507dc2909b2202dc1256f9a004052f4?OpenDocument
Alguer,Alguer,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d507dc2909b2202dc1256f9a004052f4?OpenDocument
Alice Castello,Alice Castello,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/284076a3a300b981c1256f9a004052ff?OpenDocument
Alice Inferiore,Alice Inferiore,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/284076a3a300b981c1256f9a004052ff?OpenDocument
Alladium,Alladium,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d3a528eebf9a031cc1256f9a00404dd5?OpenDocument
Allaxium,Allaxium,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/4514c9af5bab730fc1256f9a00404f1b?OpenDocument
Allinges,Allinges,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/4db35d54c02b2a1ac1256f9a0040530b?OpenDocument
Allondaz,Allondaz,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5d2554e356fbd5b0c1256f9a00405355?OpenDocument
Almenno,Almenno,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/50dcf9db11e3a6a2c1256f9a00405364?OpenDocument
Almenno San Bartolomeo,Almenno San Bartolomeo,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/50dcf9db11e3a6a2c1256f9a00405364?OpenDocument
Almenno San Salvatore,Almenno San Salvatore,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/7ea862174efce65ec1257e110050e8f6?OpenDocument
Alpignano,Alpignano,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/c3f4809b4e6e06f7c1256f9a00405382?OpenDocument
Altare,Altare,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/dc8f1d649e67800ec1256f9a004053b1?OpenDocument
Altariva,Altariva,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/a81bfe49df116135c1256fac003eeb37?OpenDocument
