fr_corporazioni;fr_confraternite;fr_consorzi;comune_clean;comune;cod_istat
0;1;0;lebrozze;Firenze;48017
0;1;0;liano;Castel San Pietro Terme;37020
0;1;0;loiano;Loiano;37034
0;1;0;loreto;Loreto;42022
0;1;0;lucadigiuppana;NA;NA
0;1;0;maddaloni;Maddaloni;61048
0;1;0;maranovicentino;Marano Vicentino;24056
0;2;0;medicina;Medicina;37037
0;1;0;meldola;Meldola;40019
0;1;0;mirandola;Mirandola;36022
0;1;0;moccosizza;NA;NA
0;1;0;molinella;Molinella;37039
0;2;0;moncalieri;Moncalieri;1156
0;1;0;monteveglio;Valsamoggia;37061
0;1;0;noale;Noale;27026
0;1;0;pievedelpino;Sasso Marconi;37057
0;1;0;pola;NA;NA
0;1;0;pomarance;Pomarance;50027
0;1;0;ponteallospino;Sovicille;52034
0;1;0;porrettaterme;Alto Reno Terme;37062
0;1;0;portogruaro;Portogruaro;27029
0;1;0;rasiglio;Sasso Marconi;37057
0;1;0;ravone;Bologna;37006
0;1;0;reggiocalabria;Reggio di Calabria;80063
0;1;0;renazzo;Cento;38004
0;1;0;roccacorneta;Lizzano in Belvedere;37033
0;1;0;roccapitigliana;Gaggio Montano;37027
0;1;0;roffenomusiolo;Castel d'Aiano;37013
0;1;0;ronchi;Crevalcore;37024
0;1;0;rosato;NA;NA
0;2;0;rovigno;NA;NA
0;1;0;sancassiano;San Cassiano;75095
0;1;0;sangiovannivaldarno;San Giovanni Valdarno;51033
0;3;0;sangiovanniinpersiceto;San Giovanni in Persiceto;37053
0;1;0;sanmartinoinargine;Molinella;37039
0;1;0;sanmartinoinsoverzano;Minerbio;37038
0;1;0;sanpietroincasale;San Pietro in Casale;37055
0;1;0;santagatabolognese;Sant'Agata Bolognese;37056
0;1;0;santagatadipuglia;Sant'Agata di Puglia;71052
0;2;0;santagostino;Terre del Reno;38028
0;1;0;santappiano;Barberino Tavernelle;48054
0;1;0;santostefanodombla;NA;NA
0;1;0;sarmego;Grumolo delle Abbadesse;24047
0;1;0;sarteano;Sarteano;52031
0;1;0;sebenico;NA;NA
0;1;0;sermoneta;Sermoneta;59027
0;1;0;settignano;Firenze;48017
0;1;0;sora;Sora;60074
0;1;0;spello;Spello;54050
0;1;0;spilamberto;Spilamberto;36045
0;1;0;spinodadda;Spino d'Adda;19102
0;1;0;stagno;NA;NA
0;1;0;terminiimerese;Termini Imerese;82070
0;2;0;terni;Terni;55032
0;3;0;todi;Todi;54052
0;3;0;todiano;Preci;54043
0;1;0;topolo;NA;NA
0;1;0;trecate;Trecate;3149
0;1;0;trevinellumbria;Trevi;54054
0;1;0;tribano;Tribano;28094
0;2;0;urbino;Urbino;41067
0;0;2;asti;Asti;5005
0;0;1;avesa;Verona;23091
0;0;2;belluno;Belluno;25006
0;0;2;brosso;Brosso;1036
0;0;1;castellamonte;Castellamonte;1066
0;0;1;cavaglia;Cavaglià;96016
0;0;5;chieri;Chieri;1078
0;0;1;comelicosuperiore;Comelico Superiore;25015
0;0;2;conegliano;Conegliano;26021
0;0;1;corvaia;Seravezza;46028
0;0;2;faenza;Faenza;39010
0;0;1;fano;Fano;41013
0;0;1;forli;Forlì;40012
0;0;4;forli;Forlì;40012
0;0;1;fossano;Fossano;4089
0;0;1;fregionaia;Lucca;46017
0;0;2;ivrea;Ivrea;1125
0;0;1;lessolo;Lessolo;1132
0;0;1;matelica;Matelica;43024
0;0;1;montanaro;Montanaro;1161
0;0;1;naso;Naso;83060
0;0;1;nepi;Nepi;56039
0;0;1;orgia;Sovicille;52034
0;0;1;ripafratta;San Giuliano Terme;50031
0;0;1;sannazzarodeburgondi;Sannazzaro de' Burgondi;18138
