"comune1921","circondario1921","provincia1921","regione1921","fascist_violence","fascist_branch","fascist1921_vv","fascist1921restr","fascist1924_vv","deportations_d","depo_pop_cap1","large_donors","foots_pop6m","excess_mf1918","rain1919","psu1913_vv","psu1919_vv","psu1920d","psu1921_vv","psu1924_vv","strike_agr_1920","z_red_scare_index","lpop1911","sh_pop_1911_be6","larea","centre_alt","max_alt","ard_vol_pop6m","army_suppliers_d","cruent_d","veterans74_95","veterans96_00","dlab","shcrop","landlord_ass","ind_workers","ind_firms","literacy","elites","bourgeoisie","ownfarm_lots1885","nazi_occ_duration","viol_crimes1874","crime1874","lpop2","lpop3","lpop4","ppi1919_vv","fascist1919_vv","nationalist1919_vv","pnf1921_vv","pnf1921_d","ppi1921_vv","off_fascist1924_vv","ppi1924_vv","traditional1919_vv","traditional1921_vv","traditional1924_vv","casualties_pop6m","draft_foots_pop6m","draftres_foots_pop6m","arditi_pop6m","volunt_pop6m","ard_vol_d","ass_memb1900s_pop","ass1900s_d","agrstrike1913_4","indstrike1913_4","agrstrikers1913_4","indstrikers1913_4","fascist_murders","political_violence","other_violence","mlarge1885","jewish_pop1911","monuments1921d","monuments1921_pop","volunteers1866d","volunteers1866_pop","z_fascism_index","no_south","psu_cand1913","salo","KZ","geometry","veterans","province_fe","fascist_spread_21","fascist_spread_24"
"accettura","matera","potenza","basilicata",0,0,0,0,0.768595039844513,0,0,0,0.0417771898210049,NA,NA,0,0,0,0.00155038759112358,0,0,-1.05090260505676,8.27741241455078,0.172852054238319,9.09683609008789,799,1310,0,0,1,0.0989521369338036,0.0936775133013725,0.460958391427994,0.0209194850176573,0,0.0410367175936699,0.0140388766303658,0.419098138809204,0.0145949888974428,0.0505959615111351,0,136,6.02471160888672,14.9086084365845,68.5155563354492,567.131530761719,4694.38134765625,0,0,0,0,0,0.1255813986063,0.561983466148376,0.223140493035316,1,0.872868239879608,0.214876040816307,0.0457559674978256,0.021883288398385,0.0411140583455563,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000143778874189593,0,0,0,0,-0.330100685358047,0,0,0,0,c(16.1499996185303, 40.4799995422363),0.192629650235176,"potenza",0,0.768595039844513
"acerenza","potenza","potenza","basilicata",0,0,0,0,0.998392283916473,0,0,0,0.0328719727694988,NA,0.740438163280487,0,0,0,0.0106761567294598,0,0,-1.05090260505676,8.40290451049805,0.175336316227913,8.95066261291504,833,833,0.000576701248064637,0,1,0.0989521369338036,0.0936557874083519,0.520394921302795,0.00779423210769892,0,0.0256410259753466,0.00997150968760252,0.44982698559761,0.0171473100781441,0.0394907779991627,0,134,2.68656706809998,8.65671634674072,70.6088027954102,593.319030761719,4985.60302734375,0,0,0,0,0,0.0344009473919868,0.995980679988861,0,1,0.954922914505005,0.00401929253712296,0.042099192738533,0.0121107269078493,0.0317185707390308,0.000576701248064637,0,1,0,0,0,0,0,0,0,0,0,0,0.00046277666115202,1,0.224215239286423,0,0.224215239286423,0.0313970260322094,0,0,0,0,c(15.9399995803833, 40.7799987792969),0.192607924342155,"potenza",0,0.998392283916473
"acerno","salerno","salerno","campania",0,0,0,0,0.440366983413696,0,0,0,0.0332975313067436,NA,0.442838907241821,0,0,0,0,0.0886850133538246,0,-1.05090260505676,7.79893350601196,0.147251844406128,8.88627052307129,720,1790,0,0,1,0.195254608988762,0.11641426384449,0.391788065433502,0.0264900662004948,0,0.0805008932948112,0.000894454366061836,0.461868971586227,0.0460927151143551,0.0622516572475433,0,129,2.7257239818573,9.99432182312012,60.8233642578125,474.357360839844,3699.48168945312,0.756410241127014,0,0,0,0,0.52173912525177,0.440366983413696,0.388379216194153,0.243589743971825,0.47826087474823,0.0703363940119743,0.0418904386460781,0.0139634804800153,0.0322234146296978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176628629560582,0,0,0,0,-0.846441447734833,0,0,0,0,c(15.0500001907349, 40.7299995422363),0.311668872833252,"salerno",0,0.440366983413696
"acquacanina","camerino","macerata","marche",0,0,0.11165414005518,0.11165414005518,0.979591846466064,0,0,0,0.0576923079788685,NA,NA,0,0,0,0.0736842080950737,0.0102040814235806,0,-1.05090260505676,6.18414878845215,0.158762887120247,7.9047040939331,662,1953,0,0,1,0.263467162847519,0.149779483675957,0.333556443452835,0.0577867031097412,0,0.0257731955498457,0.0154639175161719,0.794871807098389,0.0283355638384819,0.0566711276769638,1,418,1.23741495609283,5.11839818954468,38.2436981201172,236.50471496582,1462.58032226562,0.407894730567932,0,0,0,0,0.505263149738312,0.979591846466064,0.0102040814235806,0.592105269432068,0.309398502111435,0,0.0705128237605095,0.0320512838661671,0.0576923079788685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00063130067428574,0,0,0,0,0.63892936706543,1,1,1,0,c(13.1700000762939, 43.0200004577637),0.413246646523476,"macerata",0.11165414005518,0.867937706410885
"acquafredda","brescia","brescia","lombardia",0,0,0.102318145334721,0.102318145334721,0.901694893836975,0,0,0,0.0280000008642673,NA,1,0,0.809523820877075,1,0.730215847492218,0.0881355926394463,1,2.13647627830505,7.09506416320801,0.141791045665741,6.84054660797119,55,80,0,0,1,0.152738600969315,0.108105957508087,0.343294560909271,0.0398040413856506,0,0.160409554839134,0.06143344566226,0.773999989032745,0.0200244951993227,0.0923453718423843,1,719,1.4136039018631,5.40495586395264,50.3399353027344,357.165069580078,2534.10913085938,0.0692640691995621,0,0,0,0,0.0287769790738821,0.901694893836975,0.0101694911718369,0.121212124824524,0.127897679805756,0,0.0399999991059303,0.0199999995529652,0.0280000008642673,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212261278647929,0,0,1,0,0.463116496801376,1,0,1,0,c(10.4200000762939, 45.2999992370605),0.260844558477402,"brescia",0.102318145334721,0.799376748502254
"acqualagna","urbino","pesaroeurbino","marche",0,0,0.00879602134227753,0.00879602134227753,0.561243116855621,0,0,0,0.0512820519506931,NA,0.92114394903183,0.554263591766357,0.248843193054199,1,0.265625,0.265082269906998,0,0.413114607334137,8.06117153167725,0.153045117855072,8.53326320648193,204,888,0,0,1,0.271255820989609,0.147541135549545,0.217256754636765,0.237735509872437,0,0.0297734625637531,0.00711974129080772,0.449883460998535,0.0247565302997828,0.0665331780910492,1,481,1.53601098060608,7.4524974822998,64.9824829101562,523.8349609375,4222.7236328125,0.158354759216309,0,0,0,0,0.142857149243355,0.561243116855621,0.0676416829228401,0.182519286870956,0.535846829414368,0,0.0675990656018257,0.02486402541399,0.048174049705267,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000262235145783052,0,0,1,0,-0.606098473072052,1,1,1,0,c(12.6700000762939, 43.6199989318848),0.418796956539154,"pesaroeurbino",0.00879602134227753,0.552447095513344
"acqualunga","chiari","brescia","lombardia",0,0,0.10174198448658,0.10174198448658,0.657608687877655,0,0,0,0.038011696189642,NA,0.839473068714142,0,0.163793101906776,0,0.686695277690887,0.25,1,-0.00298449746333063,6.67959928512573,0.177135676145554,6.5132303237915,74,77,0,0,1,0.152738600969315,0.10810262709856,0.411259710788727,0.0144945569336414,0,0.202439025044441,0.00731707317754626,0.915204703807831,0.02544323541224,0.0957387238740921,0,719,0.981308400630951,6.21495342254639,44.6170463562012,298.023986816406,1990.68090820312,0.318965524435043,0,0,0,0,0.0472103022038937,0.657608687877655,0.0869565233588219,0.344827592372894,0.164352431893349,0.00543478270992637,0.0614035092294216,0.0233918130397797,0.038011696189642,0,0,0,0,0,0,0,0,0,0,0,0,1,2.07932625926333e-05,0,0,0,0,0.0758529752492905,1,1,1,0,c(9.94999980926514, 45.3300018310547),0.260841228067875,"brescia",0.10174198448658,0.555866703391075
"acquanegracremonese","cremona","cremona","lombardia",0,0,0.0527335740625858,NA,0.951573848724365,0,0,0,0.0371471010148525,NA,0.832053482532501,0.384976536035538,0.383147865533829,1,0.831606209278107,0.0411622263491154,1,1.41084778308868,7.38585090637207,0.169869810342789,6.83410882949829,45,56,0,0,1,0.246758565306664,0.143127396702766,0.475303649902344,0.000809716584626585,0,0.376370280981064,0.00487210741266608,0.710252583026886,0.0234817806631327,0.0774628892540932,0,718,0.373103380203247,4.14559316635132,54.5507926940918,402.904022216797,2975.7890625,0.529411792755127,0,0,0,0,0.00259067350998521,0.951573848724365,0.00484261522069573,0.0874403789639473,0.113069534301758,0.00242130761034787,0.0505200587213039,0.0148588409647346,0.0326894484460354,0,0,0,0.0706757605075836,1,0,0,0,0,0,0,0,1,0.000165839155670255,0,0,1,0,0.258648246526718,1,1,1,0,c(9.89999961853027, 45.1699981689453),0.38988596200943,"cremona",0.0527335740625858,0.898840274661779
"acquanegrasulchiese","mantova","mantova","lombardia",0,0,0.0182570070028305,NA,0.719801962375641,0,0,0,0.0250135939568281,NA,0.930990517139435,0.453183531761169,0.874489784240723,1,0.741361260414124,0.248514845967293,0,1.47787225246429,8.37008476257324,0.151297494769096,7.94626379013062,31,36,0,0,1,0.282796382904053,0.162596270442009,0.329055398702621,0.0309521555900574,0,0.107571557164192,0.0240073874592781,0.764545977115631,0.0251958109438419,0.0944606959819794,1,718,0.695289433002472,7.30053901672363,70.0583190917969,586.39404296875,4908.16796875,0.0326530598104,0,0,0,0,0.00837696343660355,0.716831684112549,0.0138613861054182,0.0928571447730064,0.232004776597023,0.0158415846526623,0.0337139740586281,0.0114192496985197,0.0244698207825422,0,0,0,0,0,0,0,0,0,0,0.231696009635925,0.231696009635925,1,0.00247530429624021,0,0,1,0,-0.302681863307953,1,1,1,0,c(10.4399995803833, 45.1500015258789),0.445392653346062,"mantova",0.0182570070028305,0.70154495537281
"acquaricadelcapo","gallipoli","lecce","puglie",0,1,0,0,1,0,0,0,0.0408921949565411,NA,1,0,0,0,NA,0,0,-1.05090260505676,7.83873748779297,0.1426882147789,7.51316356658936,110,174,0,0,1,0.285590589046478,0.159902527928352,0.494111001491547,0.0515488870441914,0,0.015810277312994,0.0039525693282485,0.468401491641998,0.0329945161938667,0.0415456593036652,0,127,2.71043515205383,11.4440593719482,61.4458045959473,481.657531738281,3775.5869140625,0,0,0,0,0,NA,0.75079870223999,0,1,NA,0.249201282858849,0.0455390326678753,0.0148698883131146,0.039962824434042,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000159521863679402,0,0,0,0,1.17959797382355,0,0,0,0,c(18.2399997711182, 39.9000015258789),0.445493116974831,"lecce",0,1
